TID	familyID	evidence	value	rank	description	note
230	Cluster_257	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
231	Cluster_257	priority_score	0.9155776146016378	0.9155776146016378	meta ranking based on multiple evidences	
232	Cluster_892	DNA_abundance	1346.770357196079	0.9559748427672956	ranking based on single evidence	
233	Cluster_892	DNA_prevalence	0.8627450980392157	0.8724668064290706	ranking based on single evidence	
234	Cluster_892	priority_score	0.9123138476552407	0.9123138476552407	meta ranking based on multiple evidences	
235	Cluster_670	DNA_abundance	1550.9009327450976	0.9825296995108316	ranking based on single evidence	
236	Cluster_670	DNA_prevalence	0.8529411764705882	0.8504542278127184	ranking based on single evidence	
237	Cluster_670	priority_score	0.911733621276921	0.911733621276921	meta ranking based on multiple evidences	
238	Cluster_410	DNA_abundance	1157.552298235295	0.8588399720475192	ranking based on single evidence	
239	Cluster_410	DNA_prevalence	0.9215686274509803	0.9685534591194969	ranking based on single evidence	
240	Cluster_410	priority_score	0.9104032131991293	0.9104032131991293	meta ranking based on multiple evidences	
241	Cluster_69	DNA_abundance	1327.7627205882354	0.949685534591195	ranking based on single evidence	
242	Cluster_69	DNA_prevalence	0.8627450980392157	0.8724668064290706	ranking based on single evidence	
243	Cluster_69	priority_score	0.9094399922815777	0.9094399922815777	meta ranking based on multiple evidences	
244	Cluster_357	DNA_abundance	1171.4799726666665	0.86722571628232	ranking based on single evidence	
245	Cluster_357	DNA_prevalence	0.9117647058823529	0.9552760307477288	ranking based on single evidence	
246	Cluster_357	priority_score	0.9091238912254077	0.9091238912254077	meta ranking based on multiple evidences	
247	Cluster_31	DNA_abundance	1140.0516927745095	0.8476589797344515	ranking based on single evidence	
248	Cluster_31	DNA_prevalence	0.9313725490196079	0.9790356394129979	ranking based on single evidence	
249	Cluster_31	priority_score	0.9086229767467227	0.9086229767467227	meta ranking based on multiple evidences	
250	Cluster_377	DNA_abundance	1278.3929198039211	0.9259259259259259	ranking based on single evidence	
251	Cluster_377	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
252	Cluster_377	priority_score	0.9083011101853633	0.9083011101853633	meta ranking based on multiple evidences	
253	Cluster_367	DNA_abundance	1216.0797717941175	0.8888888888888888	ranking based on single evidence	
254	Cluster_367	DNA_prevalence	0.8921568627450981	0.9273235499650594	ranking based on single evidence	
255	Cluster_367	priority_score	0.9076995425591039	0.9076995425591039	meta ranking based on multiple evidences	
256	Cluster_659	DNA_abundance	1274.8796473039217	0.9245283018867925	ranking based on single evidence	
257	Cluster_659	DNA_prevalence	0.8725490196078431	0.8913347309573725	ranking based on single evidence	
258	Cluster_659	priority_score	0.9076281308882846	0.9076281308882846	meta ranking based on multiple evidences	
259	Cluster_64	DNA_abundance	1245.4247432352945	0.9056603773584906	ranking based on single evidence	
260	Cluster_64	DNA_prevalence	0.8823529411764706	0.9095038434661076	ranking based on single evidence	
261	Cluster_64	priority_score	0.9075780412951494	0.9075780412951494	meta ranking based on multiple evidences	
262	Cluster_107	DNA_abundance	1442.999738431373	0.9713487071977638	ranking based on single evidence	
263	Cluster_107	DNA_prevalence	0.8529411764705882	0.8504542278127184	ranking based on single evidence	
